Breed Name,min_weight,max_weight
Karelian Bear Dog,19.958064280000000,22.22602613
Keeshond,15.875732950000000,20.41165665
Kerry Blue Terrier,14.968548210000000,18.143694800000000
Kishu Ken,13.6077711,27.2155422
Komondor,36.287389600000000,45.359237
Kromfohrlander,9.071847400000000,15.875732950000000
Kuvasz,31.751465900000000,52.163122550000000
Labradoodle,15.0,90.0
Labrador Retriever,24.947580350000000,36.287389600000000
Lagotto Romagnolo,10.886216880000000,15.875732950000000
Lakeland Terrier,7.71107029,7.71107029
Lancashire Heeler,4.082331330000000,7.71107029
Lapponian Herder,31.751465900000000,31.751465900000000
Leonberger,40.8233133,77.1107029
Lhasa Apso,5.4431084400000000,8.164662660000000
Löwchen,4.535923700000000,6.80388555
Maltese,3.17514659,3.17514659
Maltipoo,5.0,20.0
Manchester Terrier (Standard),5.4431084400000000,9.979032140000000
Manchester Terrier (Toy),5.4431084400000000,5.4431084400000000
Mastiff,54.4310844,104.32624510000000
Miniature American Shepherd,9.071847400000000,18.143694800000000
Miniature Bull Terrier,8.164662660000000,12.70058636
Miniature Pinscher,3.62873896,4.535923700000000
Miniature Schnauzer,4.9895160700000000,9.071847400000000
Mountain Cur,13.6077711,27.2155422
Mudi,8.164662660000000,13.15417873
Neapolitan Mastiff,49.895160700000000,68.0388555
Nederlandse Kooikerhondje,9.071847400000000,13.6077711
Newfoundland,45.359237,68.0388555
Norfolk Terrier,4.9895160700000000,5.4431084400000000
Norrbottenspets,9.071847400000000,13.6077711
Norwegian Buhund,11.793401620000000,18.143694800000000
Norwegian Elkhound,21.772433760000000,24.947580350000000
Norwegian Lundehund,9.071847400000000,13.6077711
Norwich Terrier,5.4431084400000000,5.4431084400000000
Nova Scotia Duck Tolling Retriever,15.875732950000000,22.6796185
Old English Sheepdog,27.2155422,45.359237
Otterhound,36.287389600000000,52.163122550000000
Papillon,2.2679618500000000,4.535923700000000
Parson Russell Terrier,5.8967008100000000,7.71107029
Pekingese,6.35029318,6.35029318
Pembroke Welsh Corgi,12.70058636,13.6077711
Perro de Presa Canario,38.10175908,49.895160700000000
Peruvian Inca Orchid,3.855535145,24.947580350000000
Petit Basset Griffon Vendéen,11.33980925,18.143694800000000
Pharaoh Hound,20.41165665,24.947580350000000
Plott Hound,18.143694800000000,27.2155422
Pointer,20.41165665,34.01942775
Polish Lowland Sheepdog,13.6077711,22.6796185
Pomeranian,1.3607771100000000,3.17514659
Poodle (Miniature),4.535923700000000,6.80388555
Poodle (Standard),18.143694800000000,31.751465900000000
Poodle (Toy),1.81436948,2.7215542200000000
Porcelaine,24.947580350000000,28.12272694
Portuguese Podengo,15.875732950000000,29.937096420000000
Portuguese Podengo Pequeno,4.082331330000000,5.8967008100000000
Portuguese Pointer,15.875732950000000,26.761949830000000
Portuguese Sheepdog,17.009713875,26.761949830000000
Portuguese Water Dog,15.875732950000000,27.2155422
Pudelpointer,20.41165665,31.751465900000000
Pug,6.35029318,8.164662660000000
Puli,11.33980925,15.875732950000000
Pumi,9.979032140000000,13.15417873
Pyrenean Mastiff,54.4310844,108.8621688
Pyrenean Shepherd,6.80388555,13.6077711
Rafeiro do Alentejo,34.926612490000000,59.874192840000000
Rat Terrier,4.535923700000000,11.33980925
Redbone Coonhound,20.41165665,31.751465900000000
